duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,Action,Adventure,Comedy,Crime,Documentary,Drama,Family,Horror,Mystery,Romance,Sci-Fi,Thriller,facenumber_in_poster,language,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio,imdb_score
178,0,855,1000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,237000000,936,1.78,good
169,563,1000,40000,t,t,f,f,f,f,f,f,f,f,f,f,0,English,USA,PG-13,300000000,5000,2.35,good
148,0,161,11000,t,t,f,f,f,f,f,f,f,f,f,t,1,English,UK,PG-13,245000000,393,2.35,good
164,22000,23000,27000,t,f,f,f,f,f,f,f,f,f,f,t,0,English,USA,PG-13,250000000,23000,2.35,good
132,475,530,640,t,t,f,f,f,f,f,f,f,f,t,f,1,English,USA,PG-13,263700000,632,2.35,average
156,0,4000,24000,t,t,f,f,f,f,f,f,f,t,f,f,0,English,USA,PG-13,258000000,11000,2.35,average
100,15,284,799,f,t,t,f,f,f,t,f,f,t,f,f,1,English,USA,PG,260000000,553,1.85,good
141,0,19000,26000,t,t,f,f,f,f,f,f,f,f,t,f,4,English,USA,PG-13,250000000,21000,2.35,good
153,282,10000,25000,f,t,f,f,f,f,t,f,t,f,f,f,3,English,UK,PG,250000000,11000,2.35,good
183,0,2000,15000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,250000000,4000,2.35,good
169,0,903,18000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,209000000,10000,2.35,average
106,395,393,451,t,t,f,f,f,f,f,f,f,f,f,f,1,English,UK,PG-13,200000000,412,2.35,good
151,563,1000,40000,t,t,f,f,f,f,f,f,f,f,f,f,2,English,USA,PG-13,225000000,5000,2.35,good
150,563,1000,40000,t,t,f,f,f,f,f,f,f,f,f,f,1,English,USA,PG-13,215000000,2000,2.35,average
143,0,748,15000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,225000000,3000,2.35,good
150,80,201,22000,t,t,f,f,f,f,t,f,f,f,f,f,4,English,USA,PG,225000000,216,2.35,average
173,0,19000,26000,t,t,f,f,f,f,f,f,f,f,t,f,3,English,USA,PG-13,220000000,21000,1.85,good
136,252,1000,40000,t,t,f,f,f,f,f,f,f,f,f,f,4,English,USA,PG-13,250000000,11000,2.35,good
106,188,718,10000,t,t,t,f,f,f,t,f,f,f,t,f,1,English,USA,PG-13,225000000,816,1.85,good
164,0,773,5000,f,t,f,f,f,f,f,f,f,f,f,f,0,English,International,PG-13,250000000,972,2.35,good
153,464,963,15000,t,t,f,f,f,f,f,f,f,f,f,f,0,English,USA,PG-13,230000000,10000,2.35,good
156,0,738,891,t,t,f,f,f,t,f,f,f,f,f,f,0,English,USA,PG-13,200000000,882,2.35,good
186,0,773,5000,f,t,f,f,f,f,f,f,f,f,f,f,6,English,USA,PG-13,225000000,972,2.35,good
113,129,1000,16000,f,t,f,f,f,f,t,f,f,f,f,f,2,English,USA,PG-13,180000000,6000,2.35,average
201,0,84,6000,t,t,f,f,f,t,f,f,f,t,f,f,0,English,International,PG-13,207000000,919,2.35,good
194,0,794,29000,f,f,f,f,f,t,f,f,f,t,f,f,0,English,USA,PG-13,200000000,14000,2.35,good
147,94,11000,21000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,250000000,19000,2.35,good
131,532,627,14000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,209000000,10000,2.35,average
124,365,1000,3000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,USA,PG-13,150000000,2000,2,good
143,0,393,883,t,t,f,f,f,f,f,f,f,f,f,t,0,English,UK,PG-13,200000000,563,2.35,good
135,0,4000,24000,t,t,f,f,f,f,f,f,f,t,f,f,1,English,USA,PG-13,200000000,11000,2.35,good
195,1000,3000,21000,t,t,f,f,f,f,f,f,f,f,t,f,3,English,USA,PG-13,200000000,4000,2.35,good
108,13000,11000,40000,f,t,f,f,f,f,t,f,f,f,f,f,0,English,USA,PG,200000000,25000,1.85,average
104,420,560,20000,t,t,f,f,f,f,f,f,f,f,t,t,0,English,Canada,PG-13,210000000,808,2.35,good
104,37,760,12000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,G,200000000,779,1.85,good
150,0,464,894,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,200000000,581,2.35,average
165,0,808,974,t,t,f,f,f,f,f,f,f,f,t,f,2,English,USA,PG-13,210000000,956,2.35,average
130,0,11000,44000,f,t,f,f,f,f,t,f,f,f,f,f,4,English,USA,PG,215000000,15000,2.35,average
142,464,825,15000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,200000000,10000,2.35,good
125,364,1000,12000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG,170000000,10000,2.35,good
106,487,776,1000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,G,200000000,919,2.35,average
123,258,326,16000,t,t,f,f,f,f,f,f,f,f,t,f,2,English,USA,PG-13,200000000,368,2.35,average
103,125,721,15000,f,t,t,f,f,f,t,f,f,f,f,f,3,English,USA,G,200000000,1000,1.85,good
118,368,988,23000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,200000000,3000,2.35,average
140,0,14000,26000,t,f,f,t,f,f,f,f,f,f,f,t,0,English,USA,PG-13,190000000,23000,2.35,good
123,395,1000,17000,t,t,f,f,f,f,f,t,f,f,t,t,0,English,USA,PG-13,190000000,11000,2.35,good
149,0,20000,34000,t,t,f,f,f,f,f,f,f,f,t,t,7,English,USA,PG-13,200000000,22000,2.35,good
132,14000,928,19000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,190000000,981,2.35,good
114,0,140,979,f,t,f,f,f,f,f,f,f,f,f,f,1,English,USA,PG-13,195000000,557,2.35,average
143,1000,77,29000,f,f,f,f,f,t,f,f,f,t,f,f,4,English,Australia,PG-13,105000000,509,2.35,good
116,179,236,15000,t,t,f,f,f,f,f,f,f,t,f,f,2,English,USA,PG-13,200000000,567,2.35,average
131,0,919,16000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,190000000,968,1.85,good
154,0,581,894,t,t,f,f,f,f,f,f,f,f,t,f,2,English,USA,PG-13,195000000,829,2.35,average
122,14000,1000,11000,t,t,f,f,f,f,f,f,f,f,f,f,2,English,USA,PG-13,185000000,1000,2.35,average
93,113,113,275,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,41117876,150,2.35,good
93,56,838,2000,f,t,t,f,f,f,t,f,f,f,f,f,0,English,USA,PG,185000000,1000,2.35,good
122,681,105,998,t,t,f,f,f,f,f,f,f,f,t,t,4,English,USA,PG-13,185000000,119,2.35,good
98,475,522,1000,f,t,f,f,f,f,t,f,f,f,t,f,0,English,USA,G,180000000,729,2.35,good
91,420,173,268,t,f,t,t,f,f,f,f,f,f,f,t,2,English,USA,PG-13,140000000,268,2.35,average
158,776,310,1000,t,t,f,f,f,f,f,f,f,f,t,f,0,English,USA,PG-13,200000000,468,2.35,average
96,0,10000,18000,f,f,f,f,f,t,t,f,f,f,f,f,0,English,USA,PG,200000000,14000,2.35,good
127,0,13000,17000,t,t,f,f,f,f,f,f,f,f,t,f,1,English,USA,PG-13,176000000,15000,2.35,average
110,282,103,11000,t,t,f,f,f,t,f,f,f,t,f,f,2,English,USA,PG-13,180000000,10000,2.35,average
150,80,82,1000,f,t,f,f,f,f,t,f,f,f,f,f,5,English,USA,PG,180000000,190,2.35,good
144,0,1000,34000,t,t,f,f,f,f,f,f,f,f,t,f,6,English,USA,PG-13,178000000,13000,2.35,good
152,22000,11000,23000,t,f,f,t,f,t,f,f,f,f,f,t,0,English,USA,PG-13,185000000,13000,2.35,good
96,0,262,1000,f,t,t,f,f,f,t,f,f,f,f,f,1,English,USA,PG,175000000,848,1.85,good
94,11,459,1000,t,t,t,f,f,f,t,f,f,f,t,f,2,English,USA,PG,175000000,973,2.35,average
126,4000,4000,21000,t,t,f,f,f,f,f,f,f,f,t,f,3,English,USA,PG-13,140000000,12000,2.35,good
126,17000,1000,17000,f,t,f,f,f,t,t,f,t,f,f,f,0,English,USA,PG,170000000,16000,1.85,good
106,188,582,10000,t,f,t,f,f,f,f,f,f,f,t,f,2,English,USA,PG-13,170000000,4000,1.85,average
112,357,595,5000,t,t,f,f,f,f,f,t,f,f,f,t,2,English,USA,PG-13,145000000,3000,2.35,average
